"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 01, 2019","124,000","124,000","125,500","123,500","347.94K","0.00%"
"Mar 29, 2019","124,000","121,500","124,500","121,500","383.26K","1.64%"
"Mar 28, 2019","122,000","122,500","123,000","120,500","327.30K","-0.81%"
"Mar 27, 2019","123,000","126,000","126,000","122,000","427.98K","-2.77%"
"Mar 26, 2019","126,500","125,500","127,000","125,000","346.53K","0.40%"
"Mar 25, 2019","126,000","126,000","128,000","125,000","268.02K","-0.79%"
"Mar 22, 2019","127,000","127,000","129,500","126,000","313.63K","-0.78%"
"Mar 21, 2019","128,000","128,500","131,000","127,000","322.60K","-0.39%"
"Mar 20, 2019","128,500","130,000","131,000","126,500","371.01K","-1.53%"
"Mar 19, 2019","130,500","132,000","132,500","130,000","200.76K","-1.14%"
"Mar 18, 2019","132,000","131,500","133,500","131,000","248.71K","1.15%"
"Mar 15, 2019","130,500","131,000","132,000","129,500","464.94K","-0.38%"
"Mar 14, 2019","131,000","132,500","133,500","129,000","404.17K","0.38%"
"Mar 13, 2019","130,500","129,500","132,000","128,000","267.75K","0.00%"
"Mar 12, 2019","130,500","135,000","135,500","129,500","367.33K","-2.25%"
"Mar 11, 2019","133,500","131,500","133,500","131,000","151.45K","0.38%"
"Mar 08, 2019","133,000","135,500","136,000","131,500","303.95K","-3.97%"
"Mar 07, 2019","138,500","139,500","139,500","136,500","253.89K","0.73%"
"Mar 06, 2019","137,500","136,500","139,000","134,500","382.05K","1.48%"
"Mar 05, 2019","135,500","140,000","140,000","135,000","386.83K","-1.81%"
"Mar 04, 2019","138,000","135,000","139,500","134,000","704.60K","3.76%"
"Feb 28, 2019","133,000","130,500","136,000","130,000","563.62K","2.70%"
"Feb 27, 2019","129,500","132,000","134,000","129,000","301.64K","-1.52%"
"Feb 26, 2019","131,500","126,500","134,000","126,000","585.80K","4.37%"
"Feb 25, 2019","126,000","127,000","128,500","125,500","284.39K","-0.79%"
"Feb 22, 2019","127,000","129,500","129,500","125,000","300.75K","-1.55%"
"Feb 21, 2019","129,000","126,500","130,000","126,500","346.96K","1.57%"
"Feb 20, 2019","127,000","126,500","128,000","125,500","231.43K","0.40%"
"Feb 19, 2019","126,500","127,000","128,000","125,500","217.97K","-0.39%"
"Feb 18, 2019","127,000","129,500","131,000","125,500","451.15K","-0.39%"
"Feb 15, 2019","127,500","128,500","131,000","127,500","407.96K","0.00%"
"Feb 14, 2019","127,500","125,000","130,500","125,000","700.21K","2.00%"
"Feb 13, 2019","125,000","123,500","126,500","123,500","373.19K","1.21%"
"Feb 12, 2019","123,500","123,500","124,000","121,500","647.51K","-1.59%"
"Feb 11, 2019","125,500","127,000","128,500","125,000","506.88K","-0.40%"
"Feb 08, 2019","126,000","126,500","129,000","124,500","702.67K","-2.33%"
"Feb 07, 2019","129,000","132,000","134,000","128,500","550.93K","-3.37%"
"Feb 01, 2019","133,500","138,000","140,000","133,000","399.32K","-1.84%"
"Jan 31, 2019","136,000","138,000","143,500","136,000","850.33K","0.00%"
"Jan 30, 2019","136,000","139,000","139,500","133,000","462.25K","0.00%"
"Jan 29, 2019","136,000","130,000","136,500","130,000","410.77K","3.03%"
"Jan 28, 2019","132,000","129,500","132,500","129,500","283.34K","1.54%"
"Jan 25, 2019","130,000","127,500","131,000","127,000","281.56K","0.39%"
"Jan 24, 2019","129,500","131,000","132,500","127,500","500.75K","-2.26%"
"Jan 23, 2019","132,500","130,000","134,500","130,000","259.28K","1.92%"
"Jan 22, 2019","130,000","128,500","130,500","126,500","502.04K","-0.76%"
"Jan 21, 2019","131,000","138,000","138,000","131,000","419.99K","-4.73%"
"Jan 18, 2019","137,500","137,000","138,500","136,500","328.56K","1.10%"
"Jan 17, 2019","136,000","131,500","138,000","131,500","405.11K","2.64%"
"Jan 16, 2019","132,500","132,500","135,000","131,000","272.68K","0.00%"
"Jan 15, 2019","132,500","127,500","132,500","127,500","328.32K","4.33%"
"Jan 14, 2019","127,000","130,000","130,500","125,000","524.35K","-3.05%"
"Jan 11, 2019","131,000","133,000","134,500","130,500","321.84K","0.00%"
"Jan 10, 2019","131,000","132,000","134,500","130,000","292.86K","-1.50%"
"Jan 09, 2019","133,000","131,000","134,500","129,500","380.28K","2.31%"
"Jan 08, 2019","130,000","132,000","134,000","129,000","375.92K","-1.14%"
"Jan 07, 2019","131,500","128,000","132,500","127,000","502.51K","4.78%"
"Jan 04, 2019","125,500","123,500","126,000","122,500","450.73K","2.87%"
"Jan 03, 2019","122,000","120,000","125,000","119,000","524.69K","3.39%"
"Jan 02, 2019","118,000","121,000","122,000","117,000","355.80K","-3.28%"
"Dec 28, 2018","122,000","122,500","123,000","120,500","322.50K","-0.41%"
"Dec 27, 2018","122,500","120,500","123,000","118,500","371.41K","2.94%"
"Dec 26, 2018","119,000","121,000","122,000","117,500","274.97K","-3.25%"
"Dec 24, 2018","123,000","122,000","124,500","121,000","278.73K","1.23%"
"Dec 21, 2018","121,500","127,000","127,000","121,000","500.81K","-4.33%"
"Dec 20, 2018","127,000","125,500","128,000","123,500","364.30K","-0.39%"
"Dec 19, 2018","127,500","123,000","128,500","122,500","385.34K","4.51%"
"Dec 18, 2018","122,000","120,500","124,000","120,000","342.51K","0.00%"
"Dec 17, 2018","122,000","124,000","124,000","120,500","241.41K","-1.21%"
"Dec 14, 2018","123,500","123,500","124,000","121,500","236.12K","-0.40%"
"Dec 13, 2018","124,000","125,500","125,500","123,000","922.37K","-0.40%"
"Dec 12, 2018","124,500","124,000","126,000","122,500","472.65K","1.22%"
"Dec 11, 2018","123,000","120,000","123,500","117,500","506.22K","3.36%"
"Dec 10, 2018","119,000","119,000","121,500","117,500","375.98K","-1.65%"
"Dec 07, 2018","121,000","121,500","123,500","119,500","508.15K","0.83%"
"Dec 06, 2018","120,000","123,000","124,000","119,500","428.23K","-4.00%"
"Dec 05, 2018","125,000","124,500","127,000","123,000","308.20K","1.21%"
"Dec 04, 2018","123,500","127,500","127,500","122,500","487.13K","-1.98%"
"Dec 03, 2018","126,000","130,500","130,500","125,000","484.25K","-0.40%"
"Nov 30, 2018","126,500","131,000","131,000","126,000","800.94K","-3.07%"
"Nov 29, 2018","130,500","133,000","134,000","129,000","559.19K","1.16%"
"Nov 28, 2018","129,000","128,500","130,500","126,500","645.53K","3.20%"
"Nov 27, 2018","125,000","124,000","129,500","122,500","636.61K","0.81%"
"Nov 26, 2018","124,000","115,000","124,500","114,500","804.49K","7.36%"
"Nov 25, 2018","115,500","115,000","115,500","115,000","-","1.32%"
"Nov 23, 2018","114,000","110,000","115,500","109,500","691.47K","4.11%"
"Nov 22, 2018","109,500","107,000","111,500","107,000","383.73K","2.82%"
"Nov 21, 2018","106,500","105,500","107,000","104,500","524.08K","-1.39%"
"Nov 20, 2018","108,000","110,000","112,000","107,000","667.90K","-3.14%"
"Nov 19, 2018","111,500","113,000","114,000","110,500","608.63K","-0.89%"
"Nov 16, 2018","112,500","113,500","114,500","111,500","451.69K","0.00%"
"Nov 15, 2018","112,500","116,000","116,500","111,500","525.16K","-2.60%"
"Nov 14, 2018","115,500","115,500","116,500","114,000","245.07K","-0.43%"
"Nov 13, 2018","116,000","115,500","117,500","114,000","433.98K","0.87%"
"Nov 12, 2018","115,000","114,500","116,500","114,500","181.47K","0.00%"
"Nov 11, 2018","115,000","115,000","115,000","115,000","-","0.00%"
"Nov 09, 2018","115,000","115,000","118,000","115,000","280.00K","-1.29%"
"Nov 08, 2018","116,500","118,000","120,000","115,500","403.93K","0.87%"
"Nov 07, 2018","115,500","117,500","119,000","113,500","385.33K","-1.28%"
"Nov 06, 2018","117,000","114,000","117,500","113,500","443.82K","3.08%"
"Nov 05, 2018","113,500","115,000","115,500","111,500","440.98K","-2.58%"
"Nov 02, 2018","116,500","111,500","118,500","111,500","694.82K","4.48%"
"Nov 01, 2018","111,500","113,500","116,500","110,500","600.22K","-2.62%"
"Oct 31, 2018","114,500","110,500","115,000","108,500","897.43K","3.62%"
"Oct 30, 2018","110,500","108,000","112,000","104,000","915.22K","0.91%"
"Oct 29, 2018","109,500","112,500","113,500","109,000","649.16K","-3.10%"
"Oct 26, 2018","113,000","119,000","119,000","110,000","1.18M","-5.04%"
"Oct 25, 2018","119,000","120,500","121,000","114,000","1.29M","-6.30%"
"Oct 24, 2018","127,000","127,500","129,000","124,500","503.93K","1.20%"
"Oct 23, 2018","125,500","129,000","130,000","123,500","482.88K","-2.71%"
"Oct 22, 2018","129,000","127,500","130,000","125,500","324.60K","1.57%"
"Oct 21, 2018","127,000","128,000","128,000","127,000","-","-0.39%"
"Oct 19, 2018","127,500","124,500","127,500","124,000","336.76K","2.00%"
"Oct 18, 2018","125,000","128,000","128,000","123,500","828.69K","-3.85%"
"Oct 17, 2018","130,000","132,500","134,500","129,500","688.35K","-2.62%"
"Oct 16, 2018","133,500","137,500","138,500","130,000","575.45K","-1.84%"
"Oct 15, 2018","136,000","138,500","139,000","135,000","558.69K","-4.23%"
"Oct 14, 2018","142,000","142,000","142,000","142,000","-","0.00%"
"Oct 12, 2018","142,000","138,000","142,000","132,500","653.68K","0.85%"
"Oct 05, 2018","140,800","136,400","143,200","136,400","427.90K","1.29%"
"Oct 04, 2018","139,000","140,000","140,400","137,000","352.59K","-79.83%"
"Oct 03, 2018","689,000","689,000","689,000","689,000","-","400.00%"
"Oct 02, 2018","137,800","143,000","143,000","137,200","707.18K","-3.37%"
"Oct 01, 2018","142,600","143,600","144,400","142,200","201.84K","-80.08%"
"Sep 30, 2018","716,000","716,000","716,000","716,000","-","400.00%"
"Sep 28, 2018","143,200","143,400","143,800","142,600","310.93K","0.42%"
"Sep 27, 2018","142,600","143,000","146,000","142,400","366.99K","-80.33%"
"Sep 26, 2018","725,000","725,000","725,000","725,000","-","400.00%"
"Sep 21, 2018","145,000","148,200","148,600","144,600","354.65K","-0.82%"
"Sep 20, 2018","146,200","144,400","146,800","144,400","287.20K","0.00%"
"Sep 19, 2018","146,200","145,200","146,800","145,000","263.24K","0.83%"
"Sep 18, 2018","145,000","144,000","145,800","144,000","276.42K","-0.41%"
"Sep 17, 2018","145,600","145,000","146,200","144,600","269.74K","-80.05%"
"Sep 16, 2018","730,000","730,000","730,000","730,000","-","400.00%"
"Sep 14, 2018","146,000","145,200","146,600","144,800","265.28K","0.97%"
"Sep 13, 2018","144,600","147,000","147,000","144,600","452.95K","-0.96%"
"Sep 12, 2018","146,000","146,000","146,800","145,200","253.21K","0.55%"
"Sep 11, 2018","145,200","144,600","146,200","144,400","292.90K","0.14%"
"Sep 10, 2018","145,000","144,000","146,400","144,000","294.16K","-0.96%"
"Sep 07, 2018","146,400","146,400","147,000","144,400","293.02K","0.27%"
"Sep 06, 2018","146,000","147,200","148,000","145,400","328.67K","-0.82%"
"Sep 05, 2018","147,200","150,600","150,600","145,400","591.06K","-2.52%"
"Sep 04, 2018","151,000","151,400","151,400","149,800","182.27K","0.13%"
"Sep 03, 2018","150,800","150,600","151,000","149,400","156.00K","0.27%"
"Aug 31, 2018","150,400","149,400","151,200","149,200","289.59K","0.80%"
"Aug 30, 2018","149,200","149,600","151,400","149,000","237.07K","-0.27%"
"Aug 29, 2018","149,600","151,200","152,000","149,600","272.07K","-1.06%"
"Aug 28, 2018","151,200","154,400","154,400","150,600","227.95K","-1.69%"
"Aug 27, 2018","153,800","152,600","155,000","152,000","223.67K","1.45%"
"Aug 24, 2018","151,600","154,200","155,800","151,000","255.93K","-1.81%"
"Aug 23, 2018","154,400","151,000","154,600","150,400","490.11K","3.35%"
"Aug 22, 2018","149,400","149,400","149,600","148,200","239.64K","0.00%"
"Aug 21, 2018","149,400","150,800","152,200","149,400","241.59K","-1.06%"
"Aug 20, 2018","151,000","152,800","153,200","150,600","194.63K","0.00%"
"Aug 17, 2018","151,000","150,800","153,600","149,600","193.83K","0.67%"
"Aug 16, 2018","150,000","150,000","152,600","149,000","570.44K","-80.18%"
"Aug 15, 2018","757,000","757,000","757,000","757,000","-","400.00%"
"Aug 14, 2018","151,400","152,000","153,400","150,800","307.88K","0.26%"
"Aug 13, 2018","151,000","153,400","153,400","150,000","362.72K","-80.42%"
"Aug 12, 2018","771,000","771,000","771,000","771,000","-","400.00%"
"Aug 10, 2018","154,200","155,400","156,400","154,000","345.26K","-1.03%"
"Aug 09, 2018","155,800","150,600","155,800","149,000","621.14K","3.87%"
"Aug 08, 2018","150,000","148,400","151,200","148,400","237.80K","0.81%"
"Aug 07, 2018","148,800","148,400","150,800","147,200","320.39K","1.22%"
"Aug 06, 2018","147,000","146,600","149,600","146,200","300.88K","-79.89%"
"Aug 05, 2018","731,000","731,000","731,000","731,000","-","400.00%"
"Aug 03, 2018","146,200","144,600","146,200","144,200","209.68K","0.41%"
"Aug 02, 2018","145,600","145,600","147,600","144,200","268.80K","0.00%"
"Aug 01, 2018","145,600","143,600","145,600","143,000","308.44K","1.68%"
"Jul 31, 2018","143,200","145,200","145,600","142,400","618.19K","-1.92%"
"Jul 30, 2018","146,000","149,400","149,600","145,200","543.26K","-2.80%"
"Jul 27, 2018","150,200","147,000","150,200","146,600","542.41K","0.00%"
"Jul 26, 2018","150,200","150,400","152,200","143,200","1.12M","0.67%"
"Jul 25, 2018","149,200","151,800","151,800","148,400","406.45K","0.13%"
"Jul 24, 2018","149,000","155,000","155,200","148,400","421.97K","-3.75%"
"Jul 23, 2018","154,800","154,200","155,400","153,000","373.71K","0.52%"
"Jul 20, 2018","154,000","153,000","154,400","151,000","252.18K","0.65%"
"Jul 19, 2018","153,000","154,400","156,000","152,600","252.11K","0.13%"
"Jul 18, 2018","152,800","152,400","154,200","151,800","158.79K","0.66%"
"Jul 17, 2018","151,800","153,800","153,800","151,000","263.95K","-1.56%"
"Jul 16, 2018","154,200","154,200","154,600","153,400","247.01K","-80.00%"
"Jul 15, 2018","771,000","771,000","771,000","771,000","-","400.00%"
"Jul 13, 2018","154,200","156,000","156,400","153,000","355.85K","-1.41%"
"Jul 12, 2018","156,400","155,000","156,400","152,800","478.29K","1.69%"
"Jul 11, 2018","153,800","152,600","154,200","151,400","387.12K","1.18%"
"Jul 10, 2018","152,000","151,400","153,600","151,200","335.48K","0.66%"
"Jul 09, 2018","151,000","149,800","155,800","149,600","471.85K","0.80%"
"Jul 06, 2018","149,800","151,000","151,600","149,200","389.13K","-2.09%"
"Jul 05, 2018","153,000","151,200","153,800","151,200","282.18K","-0.39%"
"Jul 04, 2018","153,600","153,800","155,800","152,000","824.28K","2.81%"
"Jul 03, 2018","149,400","151,800","152,600","148,600","431.34K","-0.53%"
"Jul 02, 2018","150,200","153,000","153,000","149,000","527.04K","-1.57%"
"Jun 29, 2018","152,600","150,000","152,800","149,600","764.30K","2.14%"
"Jun 28, 2018","149,400","147,600","150,200","145,200","673.74K","1.08%"
"Jun 27, 2018","147,800","149,400","149,600","147,800","419.06K","0.54%"
"Jun 26, 2018","147,000","148,400","149,200","146,000","533.19K","-1.74%"
"Jun 25, 2018","149,600","145,600","150,000","145,400","1.28M","-79.31%"
"Jun 24, 2018","723,000","723,000","723,000","723,000","-","400.00%"
"Jun 22, 2018","144,600","138,000","144,800","138,000","801.08K","3.43%"
"Jun 21, 2018","139,800","137,000","140,600","136,800","589.31K","1.45%"
"Jun 20, 2018","137,800","137,800","138,400","137,400","531.95K","0.15%"
"Jun 19, 2018","137,600","138,000","138,800","137,600","551.44K","-0.86%"
"Jun 18, 2018","138,800","138,000","139,000","137,200","464.13K","-79.88%"
"Jun 17, 2018","690,000","690,000","690,000","690,000","-","400.00%"
"Jun 15, 2018","138,000","141,000","141,200","137,400","649.45K","-2.40%"
"Jun 14, 2018","141,400","143,800","145,000","141,000","789.54K","-80.28%"
"Jun 13, 2018","717,000","717,000","717,000","717,000","-","400.00%"
"Jun 12, 2018","143,400","142,400","143,800","140,800","583.27K","0.84%"
"Jun 11, 2018","142,200","140,200","142,400","139,000","624.02K","-79.71%"
"Jun 10, 2018","701,000","701,000","701,000","701,000","-","400.00%"
